,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
79,-0.6369,Sat Apr 28 17:00:07 +0000 2018,0.593,0.292,@CNN,0.114,CNN,80,"Judge in case Jeff Sessions picked for immigrant domestic violence asylum review issued ""clearly erroneous"" decisio… https://t.co/iCPBhArGFZ"
80,0.4019,Sat Apr 28 16:45:02 +0000 2018,0.803,0.0,@CNN,0.197,CNN,81,British toddler Alfie Evans dies after life support is withdrawn https://t.co/kWyjArvwSW https://t.co/aivTfu5iCV
81,-0.6705,Sat Apr 28 16:30:09 +0000 2018,0.64,0.36,@CNN,0.0,CNN,82,Military officials killed in Somalia restaurant blast https://t.co/eX3me7Hdx4 https://t.co/R8s04UZkvK
82,-0.296,Sat Apr 28 16:15:06 +0000 2018,0.804,0.196,@CNN,0.0,CNN,83,Here's what you missed during a busy news week https://t.co/rsVrBe1WFd https://t.co/AaO16FxKqY
83,0.4404,Sat Apr 28 16:00:11 +0000 2018,0.769,0.0,@CNN,0.231,CNN,84,Defense Secretary James Mattis woos National Security Advisor John Bolton with breakfast club invite… https://t.co/1LDQiN4soe
84,-0.8957,Sat Apr 28 15:45:11 +0000 2018,0.393,0.607,@CNN,0.0,CNN,85,Soldiers among 6 killed in Afghanistan car bomb attack https://t.co/GMsLhU1UE9 https://t.co/tEGfMBMEvl
85,0.0,Sat Apr 28 15:34:24 +0000 2018,1.0,0.0,@CNN,0.0,CNN,86,President Trump and South Korean President Moon talk ahead of North Korea meeting https://t.co/t6LGP10E07 https://t.co/HjO4dSX67p
86,0.5574,Sat Apr 28 15:00:06 +0000 2018,0.841,0.0,@CNN,0.159,CNN,87,"Kanye West just released a new song defending his praise for Trump. The track features West debating with Tip ""T.I.… https://t.co/asge9HLqNw"
87,0.0,Sat Apr 28 14:31:01 +0000 2018,1.0,0.0,@CNN,0.0,CNN,88,3000 miles. Sickness. Trains of trash. A 27-year-old pregnant mother of two recounts fleeing from Honduras alongsid… https://t.co/wzULYjTADs
88,-0.6249,Sat Apr 28 14:01:08 +0000 2018,0.745,0.255,@CNN,0.0,CNN,89,These kids were being bullied. Then a photographer transformed them into Avengers superheroes… https://t.co/oRtaz9zecY
89,-0.3612,Sat Apr 28 13:31:07 +0000 2018,0.783,0.217,@CNN,0.0,CNN,90,Here's how far teacher salaries have fallen behind https://t.co/6XtGE8D2nK https://t.co/hcdGo2sAPZ
90,0.34,Sat Apr 28 13:01:07 +0000 2018,0.805,0.0,@CNN,0.195,CNN,91,Amazon is raising the price of Amazon Prime from $99 to $119 per year https://t.co/N0DpVCku8I https://t.co/84REwojwf9
91,0.0,Sat Apr 28 12:31:03 +0000 2018,1.0,0.0,@CNN,0.0,CNN,92,Sweden has opened the world's first public road that allows electric cars to recharge while driving… https://t.co/Rfw1DgEHKD
92,0.7717,Sat Apr 28 12:01:02 +0000 2018,0.642,0.0,@CNN,0.358,CNN,93,"The super groovy talent behind ""Schoolhouse Rock"" | By Gene Seymour via @CNNOpinion https://t.co/8P3O7IDmnH https://t.co/rTKmd9z58Q"
93,0.0,Sat Apr 28 11:31:05 +0000 2018,1.0,0.0,@CNN,0.0,CNN,94,"As the world's most populous nation, with the second-biggest economy, China is finding new and increasingly nerve-r… https://t.co/lfY9olJ3FX"
94,0.3612,Sat Apr 28 11:01:02 +0000 2018,0.828,0.0,@CNN,0.172,CNN,95,Get ready for the world's longest nonstop flight: Almost 20 hours https://t.co/ILyfh70lqm https://t.co/e8HtT9SZXf
95,0.7501,Sat Apr 28 10:46:04 +0000 2018,0.767,0.0,@CNN,0.233,CNN,96,"""Hannity is a very wealthy man. So is Donald Trump. It appears that part of the way they became rich was by decryin… https://t.co/tZ5M9pVhL9"
